task,speaker_id,tts_method,fid_score,csim_score,csim_std,original_video,generated_video
task_32,S002,YourTTS,35.829586029052734,0.9171961,0.021147167,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S002_02_DDK_PA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S002_02_DDK_PA_color_25fps_6sec_YT_S002_VCTK_cloned.mp4
task_33,S003,CosyVoice,21.272125244140625,0.9216307,0.023320114,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S003_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S003_02_BBP_NORMAL_color_25fps_6sec_CV_S003_VCTK_cloned.mp4
task_34,S003,XTTSv2,22.75649070739746,0.9182276,0.027640464,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S003_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S003_02_BBP_NORMAL_color_25fps_6sec_XT_S003_VCTK_cloned.mp4
task_35,S003,YourTTS,24.28236961364746,0.9276335,0.01867285,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S003_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S003_02_BBP_NORMAL_color_25fps_6sec_YT_S003_VCTK_cloned.mp4
task_36,S005,CosyVoice,32.70832824707031,0.94439507,0.016662776,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S005_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S005_02_BBP_NORMAL_color_25fps_6sec_CV_S005_VCTK_cloned.mp4
task_37,S005,XTTSv2,29.573942184448242,0.945895,0.016752364,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S005_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S005_02_BBP_NORMAL_color_25fps_6sec_XT_S005_VCTK_cloned.mp4
task_38,S005,YourTTS,34.338809967041016,0.9394208,0.018625641,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S005_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S005_02_BBP_NORMAL_color_25fps_6sec_YT_S005_VCTK_cloned.mp4
task_39,S006,CosyVoice,23.41019630432129,0.9238075,0.0293883,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S006_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S006_02_BBP_NORMAL_color_25fps_6sec_CV_S006_VCTK_cloned.mp4
task_40,S006,XTTSv2,23.636287689208984,0.9259967,0.027751638,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S006_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S006_02_BBP_NORMAL_color_25fps_6sec_XT_S006_VCTK_cloned.mp4
task_41,S006,YourTTS,24.42074203491211,0.92348605,0.020352626,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S006_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S006_02_BBP_NORMAL_color_25fps_6sec_YT_S006_VCTK_cloned.mp4
task_42,S007,CosyVoice,33.86359786987305,0.8354066,0.04994543,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S007_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S007_02_BBP_NORMAL_color_25fps_6sec_CV_S007_VCTK_cloned.mp4
