dataset,speaker_id,tts_method,lse_d_score,lse_c_score,video_file
VCTK,S001,YourTTS,10.511787621180217,2.2330480257670087,S001_02_DDK_PA_color_25fps_6sec_YT_S001_VCTK_cloned.mp4
VCTK,A015,CosyVoice,10.511787621180217,2.2330480257670087,A015_02_DDK_PATAKA_color_25fps_6sec_CV_A015_VCTK_cloned.mp4
VCTK,S009,XTTSv2,10.511787621180217,2.2330480257670087,S009_02_BBP_NORMAL_color_25fps_6sec_XT_S009_VCTK_cloned.mp4
VCTK,S006,YourTTS,10.511787621180217,2.2330480257670087,S006_02_BBP_NORMAL_color_25fps_6sec_YT_S006_VCTK_cloned.mp4
VCTK,S007,CosyVoice,10.511787621180217,2.2330480257670087,S007_02_BBP_NORMAL_color_25fps_6sec_CV_S007_VCTK_cloned.mp4
VCTK,A008,YourTTS,10.511787621180217,2.2330480257670087,A008_02_BBP_NORMAL_color_25fps_6sec_YT_A008_VCTK_cloned.mp4
VCTK,A016,CosyVoice,10.511787621180217,2.2330480257670087,A016_02_BBP_NORMAL_color_25fps_6sec_CV_A016_VCTK_cloned.mp4
VCTK,A017,YourTTS,10.511787621180217,2.2330480257670087,A017_02_BBP_NORMAL_color_25fps_6sec_YT_A017_VCTK_cloned.mp4
VCTK,S001,CosyVoice,10.511787621180217,2.2330480257670087,S001_02_DDK_PA_color_25fps_6sec_CV_S001_VCTK_cloned.mp4
VCTK,A015,YourTTS,10.511787621180217,2.2330480257670087,A015_02_DDK_PATAKA_color_25fps_6sec_YT_A015_VCTK_cloned.mp4
VCTK,A014,XTTSv2,10.511787621180217,2.2330480257670087,A014_02_BBP_NORMAL_color_25fps_6sec_XT_A014_VCTK_cloned.mp4
VCTK,S007,YourTTS,10.511787621180217,2.2330480257670087,S007_02_BBP_NORMAL_color_25fps_6sec_YT_S007_VCTK_cloned.mp4
VCTK,S006,CosyVoice,10.511787621180217,2.2330480257670087,S006_02_BBP_NORMAL_color_25fps_6sec_CV_S006_VCTK_cloned.mp4
VCTK,S008,XTTSv2,10.511787621180217,2.2330480257670087,S008_02_BBP_NORMAL_color_25fps_6sec_XT_S008_VCTK_cloned.mp4
VCTK,S002,XTTSv2,10.511787621180217,2.2330480257670087,S002_02_DDK_PA_color_25fps_6sec_XT_S002_VCTK_cloned.mp4
VCTK,S005,XTTSv2,10.511787621180217,2.2330480257670087,S005_02_BBP_NORMAL_color_25fps_6sec_XT_S005_VCTK_cloned.mp4
VCTK,A006,XTTSv2,10.511787621180217,2.2330480257670087,A006_02_BBP_NORMAL_color_25fps_6sec_XT_A006_VCTK_cloned.mp4
VCTK,A017,CosyVoice,10.511787621180217,2.2330480257670087,A017_02_BBP_NORMAL_color_25fps_6sec_CV_A017_VCTK_cloned.mp4
VCTK,A016,YourTTS,10.511787621180217,2.2330480257670087,A016_02_BBP_NORMAL_color_25fps_6sec_YT_A016_VCTK_cloned.mp4
VCTK,A008,CosyVoice,10.511787621180217,2.2330480257670087,A008_02_BBP_NORMAL_color_25fps_6sec_CV_A008_VCTK_cloned.mp4
